,Skills,Link
Desenvolver site com consulta a um banco de dados,"HTML5, PHP, Python",https://www.99freelas.com.br//project/desenvolver-site-com-consulta-a-um-banco-de-dados-344417?fs=t
Programação webscraper (coleta de dados em sites),"Python, Scrapy",https://www.99freelas.com.br//project/programacao-webscraper-coleta-de-dados-em-sites-344415?fs=t
Robô da roleta BET365 - grupo no Telegram,"NodeJS, Python, Selenium",https://www.99freelas.com.br//project/robo-da-roleta-bet365-grupo-no-telegram-344220?fs=t
Projeto Cassino Roleta - Bet365,"Desenvolvimento de API, Programação, Programação C, Programação de PC, Python",https://www.99freelas.com.br//project/projeto-cassino-roleta-bet365-344152?fs=t
Criar API de comunicação com o site Betano,Python,https://www.99freelas.com.br//project/criar-api-de-comunicacao-com-o-site-betano-343839?fs=t
Robô de Sinais para casa de apostas Blaze,"CSS, HTML, Javascript, PHP, Python",https://www.99freelas.com.br//project/robo-de-sinais-para-casa-de-apostas-blaze-344095?fs=t
Bot telegram blaze double,Python,https://www.99freelas.com.br//project/bot-telegram-blaze-double-344090?fs=t
Automatização de IQ Option/Quotex via chatbot Telegram,"Chatbot, Desenvolvimento de API, Javascript, Python, Web API",https://www.99freelas.com.br//project/automatizacao-de-iq-option-quotex-via-chatbot-telegram-343979?fs=t
Automação de apostas na Blaze com grupo de sinais do Telegram,Criativo,https://www.99freelas.com.br//project/automacao-de-apostas-na-blaze-com-grupo-de-sinais-do-telegram-343859?fs=t
Robô da roleta Bet365 - grupo no Telegram,"NodeJS, Python, Selenium",https://www.99freelas.com.br//project/robo-da-roleta-bet365-grupo-no-telegram-343808?fs=t
Robô de apostas automáticas ,Python,https://www.99freelas.com.br//project/robo-de-apostas-automaticas-343743?fs=t
Bot automatizador de taxas para IQ Option e Quotex,"Javascript, Python",https://www.99freelas.com.br//project/bot-automatizador-de-taxas-para-iq-option-e-quotex-343723?fs=t
IA | Identificação de padrões de dados,"Inteligência Artificial, Python, Ruby",https://www.99freelas.com.br//project/ia-identificacao-de-padroes-de-dados-343703?fs=t
Bot de sinal pra Telegram Blaze Double,Python,https://www.99freelas.com.br//project/bot-de-sinal-pra-telegram-blaze-double-343681?fs=t
